#,Company,Email,Person,Title,Region,Notes
35,Vinfotech,info@vinfotech.com,Hiring Team,—,Dubai/UAE,Send cold email
36,Algoworks,info@algoworks.com,Hiring Team,—,Dubai/UAE,Send cold email
37,Quytech,hr@quytech.com,Hiring Team,—,Dubai/UAE,DIRECT HR EMAIL scraped ✅ — also sales@quytech.com
38,Astra Tech,info@astratech.ae,Hiring Team,—,Dubai/UAE,Dubai AI company
39,ai71,contact@ai71.ai,Hiring Team,—,Dubai/UAE,UAE AI company; contact@ scraped ✅
40,Plavno,hello@plavno.io,Hiring Team,—,Dubai/UAE,Send cold email
41,Sarwa,hello@sarwa.co,Hiring Team,—,Dubai/UAE,Dubai fintech
42,Beehive,hello@beehive.ae,Hiring Team,—,Dubai/UAE,Dubai fintech
43,NOW Money,hello@nowmoney.me,Hiring Team,—,Dubai/UAE,Dubai fintech
44,Tabby,hello@tabby.ai,Hiring Team,—,Dubai/UAE,Apply via portal + cold email
45,Ziina,partnerships@ziina.com,Hiring Team,—,Dubai/UAE,partnerships@ scraped from about page ✅
46,Stake,hello@getstake.com,Hiring Team,—,Dubai/UAE,Dubai PropTech
47,PayTabs,uaesales@paytabs.com,Hiring Team,—,Dubai/UAE,UAE payments; uaesales@ + customercare@ scraped ✅
48,Telr,sales@telr.com,Hiring Team,—,Dubai/UAE,"Multiple emails scraped ✅: sales@, support@, partner@, marketing@telr.com"
49,Tarabut Gateway,hello@tarabut.com,Hiring Team,—,Dubai/UAE,UAE Open Banking
50,Lean Technologies,hello@leantech.me,Hiring Team,—,Dubai/UAE,UAE Open Banking
51,Property Finder,careers@propertyfinder.ae,Hiring Team,—,Dubai/UAE,Direct HR inbox
52,Dubizzle,careers@dubizzle.com,Hiring Team,—,Dubai/UAE,Direct HR inbox
53,Bayut,careers@bayut.com,Mirna Al Sayegh,Sr. TA Specialist,Dubai/UAE,Email careers@ AND DM Mirna on LinkedIn
54,Huspy,john.razon@huspy.io,John Michael Razon,People Team,Dubai/UAE,VERIFIED - email directly
54b,Huspy (2nd contact),hello@huspy.com,Grasielly D.,People Lead,Dubai/UAE,DM LinkedIn to confirm
55,Ajar Online,hello@ajaronline.com,Hiring Team,—,Dubai/UAE,Dubai PropTech
56,Vezeeta,hello@vezeeta.com,Hiring Team,—,Dubai/UAE,UAE HealthTech
57,Okadoc,hello@okadoc.com,Hiring Team,—,Dubai/UAE,Dubai HealthTech
58,Altibbi,info@altibbi.com,Hiring Team,—,Dubai/UAE,UAE HealthTech
59,Bayzat,hello@bayzat.com,Sanjo Joshi,Sr. Talent Resourcer,Dubai/UAE,DM LinkedIn to confirm
60,Rise,hello@rise.ae,Hiring Team,—,Dubai/UAE,Dubai HR Tech
61,Fetchr,hello@fetchr.us,Hiring Team,—,Dubai/UAE,Verify active - domain may redirect
62,Cafu,hello@cafu.com,Pranita Talukdar,HR Manager,Dubai/UAE,DM LinkedIn to get full email
63,Trukkin,info@trukkin.com,Hiring Team,—,Dubai/UAE,Dubai logistics
64,Swvl,hello@swvl.com,Hiring Team,—,Dubai/UAE,Verify if active
65,Anghami,hello@anghami.com,Hiring Team,—,Dubai/UAE,UAE music tech
66,Yalla,bd@yalla.live,Hiring Team,—,Dubai/UAE,Dubai gaming
67,Kitopi,hello@kitopi.com,Hiring Team,—,Dubai/UAE,Dubai cloud kitchens
68,Entertainer,hello@theentertainerme.com,Hiring Team,—,Dubai/UAE,Dubai loyalty tech
69,Cofe App,hello@cofeapp.com,Hiring Team,—,Dubai/UAE,Dubai retail tech
70,Bayt.com,support@bayt.com,Hiring Team,—,Dubai/UAE,UAE job platform
71,Careem,careers@careem.com,Hiring Team,—,Dubai/UAE,Direct HR careers email
72,Noon,careers@noon.com,Hiring Team,—,Dubai/UAE,Confirmed direct careers email
73,Talabat,inquiries@talabat.com,Hiring Team,—,Dubai/UAE,Use inquiries@ + apply via portal
74,Saffron Tech,info@saffrontech.net,Hiring Team,—,Dubai/UAE,Send cold email
75,Itransition,info@itransition.com,Hiring Team,—,Dubai/UAE,Send cold email
76,instinctools,hello@instinctools.com,Hiring Team,—,Dubai/UAE,Send cold email
77,SDLC Corp,hello@sdlccorp.com,Hiring Team,—,Dubai/UAE,Send cold email
78,G42,contact@g42.ai,Hiring Team,—,Dubai/UAE,UAE AI giant - apply via portal too
79,Presight,info@presight.ai,Hiring Team,—,Dubai/UAE,Abu Dhabi AI analytics
80,Pure Harvest,hello@pure-harvest.com,Hiring Team,—,Dubai/UAE,UAE AgriTech
81,Coda Payments,hello@codapayments.com,Hiring Team,—,Dubai/UAE,Send cold email
82,Workruit,hello@workruit.com,Hiring Team,—,Dubai/UAE,Send cold email
83,d1g1t,info@d1g1t.com,Hiring Team,—,Dubai/UAE,Send cold email
84,Network International,info@networkinternational.ae,Hiring Team,—,Dubai/UAE,UAE payments giant
85,Magnati,info@magnati.com,Hiring Team,—,Dubai/UAE,UAE payments
86,Elmenus,hello@elmenus.com,Hiring Team,—,Dubai/UAE,Send cold email
87,GoBOLT,hello@gobolt.com,Hiring Team,—,Dubai/UAE,Send cold email
88,Etisalat Digital (e&),info@eand.com,Hiring Team,—,Dubai/UAE,Major UAE telecom tech arm
89,TekRevol,info@tekrevol.com,Hiring Team,—,Dubai/UAE,Dubai-based; email confirmed
90,PLAN A Technology,contact@plana.tech,Hiring Team,—,Dubai/UAE,Dubai Silicon Oasis; email confirmed
91,Team Rhino,hello@teamrhinoltd.com,Hiring Team,—,Dubai/UAE,Sheikh Zayed Rd Dubai; email confirmed
92,Adapts Media,ankita@adaptsmedia.com,Ankita,Manager,Dubai/UAE,Named person scraped from contact page ✅
93,Alaan,careers@alaanpay.com,Hiring Team,—,Dubai/UAE,VERIFIED careers email - send directly
94,Qashio,hello@qashio.com,Hiring Team,—,Dubai/UAE,Dubai fintech; portal + cold email
95,NymCard,careers@nymcard.com,Hiring Team,—,Dubai/UAE,"DIRECT CAREER EMAIL scraped ✅ — also contact@, press@nymcard.com"
96,Baraka,hello@baraka.io,Hiring Team,—,Dubai/UAE,Dubai investment app
97,BitOasis,info@bitoasis.net,Hiring Team,—,Dubai/UAE,Dubai crypto exchange
98,Alef Education,info@alef.ae,Hiring Team,—,Dubai/UAE,Dubai AI-powered EdTech
99,Help AG,info@helpag.com,Hiring Team,—,Dubai/UAE,Dubai cyber defense; part of e&
