#,Company,Email,Person,Title,Region,Notes
,EngineerBabu,aanchal@engineerbabu.com,Aanchal,Business Contact,Other,Indore software/product dev; VERIFIED rendered on engineerbabu.com footer (WebFetch-confirmed); MX OK
,Prasinos Tech,info@prasinostech.co.in,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; cleantech; VERIFIED printed on prasinostech.co.in; MX OK
,Prasinos Tech,marketing@prasinostech.co.in,Marketing Desk,Marketing,Other,IIT Kanpur SIIC incubated portfolio; cleantech; VERIFIED printed on prasinostech.co.in; MX OK
,Prasinos Tech,support@prasinostech.co.in,Support Desk,Support,Other,IIT Kanpur SIIC incubated portfolio; cleantech; VERIFIED printed on prasinostech.co.in; MX OK
,Mildcares,care@mildcares.com,Care Desk,General,Other,IIT Kanpur SIIC incubated portfolio; healthcare; VERIFIED printed on mildcares.com; MX OK
,Mildcares,reachus@mildcares.com,Reach-us Desk,General,Other,IIT Kanpur SIIC incubated portfolio; healthcare; VERIFIED printed on mildcares.com; MX OK
,Meukron,sales@meukron.in,Sales Desk,Sales,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on meukron.in; MX OK
,Ksham Innovation,team@kshaminnovation.in,Team Desk,General,Other,IIT Kanpur SIIC incubated portfolio; medtech; VERIFIED printed on kshaminnovation.in; MX OK
,Wastech India,ho.raipur@wastechindia.com,Raipur Head Office,General,Other,IIT Kanpur SIIC incubated portfolio; waste management; VERIFIED printed on wastechindia.com; MX OK
,Nadipulse,support@nadipulse.com,Support Desk,Support,Other,IIT Kanpur SIIC incubated portfolio; health diagnostics; VERIFIED printed on nadipulse.com; MX OK
,Robust Results,info@robustresults.com,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; analytics; VERIFIED printed on robustresults.com; MX OK
,Prayogik,contacts@prayogik.in,Contacts Desk,General,Other,IIT Kanpur SIIC incubated portfolio; edtech; VERIFIED printed on prayogik.in; MX OK
,Menteve,info@menteve.com,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on menteve.com; MX OK
,Treacle Tech,contact@treacletech.com,Contact Desk,General,Other,IIT Kanpur SIIC incubated portfolio; cybersecurity/deception tech; VERIFIED printed on treacletech.com; MX OK
,BillClap,support@billclap.com,Support Desk,Support,Other,IIM Lucknow EIC incubated portfolio; SMB billing SaaS; VERIFIED printed on billclap.com; MX OK
,Pixel Tech,hello@pixeltech.ai,Contact Desk,General,Other,IIM Lucknow EIC incubated portfolio; AI/software; VERIFIED printed on pixeltech.ai; MX OK
,Reportify,support@reportify.in,Support Desk,Support,Other,IIM Lucknow EIC incubated portfolio; reporting SaaS; VERIFIED printed on reportify.in; MX OK
,Broki,contact@broki.in,Contact Desk,General,Other,IIM Lucknow EIC incubated portfolio; brokerage tech; VERIFIED printed on broki.in; MX OK
,India Assist,info@indiaassist.com,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; travel assistance; VERIFIED printed on indiaassist.com; MX OK
,Fortax,hola@fortax.in,Contact Desk,General,Other,IIM Lucknow EIC incubated portfolio; fintech/tax; VERIFIED printed on fortax.in; MX OK
,EasyHeals,sales@easyheals.com,Sales Desk,Sales,Other,IIM Lucknow EIC incubated portfolio; healthtech; VERIFIED printed on easyheals.com; MX OK
,RenoSwift,info@renoswift.com,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; home renovation platform; VERIFIED printed on renoswift.com; MX OK
,The Momly,hello@themomly.com,Contact Desk,General,Other,IIM Lucknow EIC incubated portfolio; D2C/parenting; VERIFIED printed on themomly.com; MX OK
,NanoSafe Solutions,info@nanosafesolutions.com,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; nanotech/materials; VERIFIED printed on nanosafesolutions.com; MX OK
,Cultre,info@cultre.in,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; culture/HR tech; VERIFIED printed on cultre.in; MX OK
,Fridayy,subscriptions@fridayy.ai,Subscriptions Desk,General,Other,IIM Lucknow EIC incubated portfolio; AI product; VERIFIED printed on fridayy.ai; MX OK
,Cognosia,admin@cognosia.com,Admin Desk,General,Other,IIM Lucknow EIC incubated portfolio; AI/analytics; VERIFIED printed on cognosia.com; MX OK
,Scooton,info@scooton.app,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; EV mobility; VERIFIED printed on scooton.app; MX OK
,Raasa Karts,manik.sehgal@raasakarts.com,Manik Sehgal,Named contact,Other,IIM Lucknow EIC incubated portfolio; F&B/karts; VERIFIED printed on raasakarts.com; MX OK
,GenZDealz,yo@genzdealz.ai,Contact Desk,General,Other,IIM Lucknow EIC incubated portfolio; consumer AI; VERIFIED printed on genzdealz.ai; MX OK
,Yaari Games,hello@yaarigames.com,Contact Desk,General,Other,IIM Lucknow EIC incubated portfolio; gaming; VERIFIED printed on yaarigames.com; MX OK
,JustLearn India,info@justlearnindia.com,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; edtech; VERIFIED printed on justlearnindia.in; mail domain is .com; MX OK
,RoadPilot,info@roadpilot.co.in,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; mobility/logistics; VERIFIED printed on roadpilot.co.in; MX OK
,SudoYantra,vaibhav@sudoyantra.com,Vaibhav,Named contact,Other,IIM Lucknow EIC incubated portfolio; robotics/automation; VERIFIED printed on sudoyantra.com; MX OK
,TurtleNeck CS,kartikey@turtleneckcs.in,Kartikey,Named contact,Other,IIM Lucknow EIC incubated portfolio; consulting/tech; VERIFIED printed on turtleneckcs.com; mail domain is .in; MX OK
,TurtleNeck CS,info@turtleneckcs.in,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; consulting/tech; VERIFIED printed on turtleneckcs.com; mail domain is .in; MX OK
,FitBuds,team@fitbuds.fit,Team Desk,General,Other,IIM Lucknow EIC incubated portfolio; fitness tech; VERIFIED printed on fitbuds.fit; MX OK
,Aguken,info@aguken.com,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; consumer/tech; VERIFIED printed on aguken.com; MX OK
,StoreFerry,info@storeferry.com,Corporate Office,General,Other,IIM Lucknow EIC incubated portfolio; retail/commerce tech; VERIFIED printed on storeferry.com; MX OK
,Jitsy,connect@jitsy.in,Connect Desk,General,Other,IIM Lucknow EIC incubated portfolio; consumer app; VERIFIED printed on jitsy.in; MX OK
,Max2D,support@max2d.app,Support Desk,Support,Other,IIM Lucknow EIC incubated portfolio; gaming; VERIFIED printed on max2dgame.com; mail domain is max2d.app; MX OK
,"I-3 Foundation, IIT (BHU) Varanasi",i3f@iitbhu.ac.in,Incubation Desk,General,Other,Varanasi (UP) IIT-BHU incubator - route to incubated startups/internships; VERIFIED printed on i3f-iitbhu.org/contact-us
,Digiature Technology,digisales@digiature.com,Sales Desk,Sales,Other,Prayagraj software/web dev; VERIFIED printed on digiature.com/contact-us; MX OK
,AWEIL (Advanced Weapons & Equipment India),cmd@aweil.in,CMD Desk,Chairman & Managing Director,Other,Kanpur-HQ defence PSU; VERIFIED printed on aweil.in and /contact; MX OK
,Small Arms Factory Kanpur (AWEIL),saf@ord.gov.in,Factory Desk,General,Other,Kanpur Small Arms Factory under AWEIL; VERIFIED printed on aweil.in/contact; MX OK
,Ordnance Factory (AWEIL unit),ofpkr@ord.gov.in,Factory Desk,General,Other,"AWEIL unit desk as printed on aweil.in/contact (unit code PKR, city not stated); MX OK"
,ITI Limited,iti_crp@itiltd.co.in,Corporate Desk,General,Other,Telecom PSU; VERIFIED printed on itiltd.in careers/hr/contact pages; MX OK
,ITI Limited - Naini Unit,unithead_nni@itiltd.co.in,Unit Head,Unit Head,Other,Naini (Prayagraj) plant of ITI Ltd; VERIFIED printed on itiltd.in/contact.php; MX OK
,ITI Limited - Rae Bareli Unit,unithead_rbl@itiltd.co.in,Unit Head,Unit Head,Other,Rae Bareli (UP) plant of ITI Ltd; VERIFIED printed on itiltd.in/contact.php; MX OK
,ITI Limited - UP Service Provider,head_mspup@itiltd.co.in,Head,Head,Other,ITI Ltd UP manufacturing/service unit; VERIFIED printed on itiltd.in/contact.php; MX OK
,MNNIT Allahabad,secretary@mnnit.ac.in,Secretary Desk,General,Other,"Prayagraj NIT - research/project internships, not industry roles; VERIFIED printed on mnnit.ac.in/contact-us; MX OK"
,CSJM University Kanpur,director.uiet@csjmu.ac.in,UIET Director,Director,Other,Kanpur university engineering institute (UIET); VERIFIED printed on csjmu.ac.in/contact-us; MX OK
,CSJM University Kanpur,registrar@csjmu.ac.in,Registrar,Registrar,Other,Kanpur state university; VERIFIED printed on csjmu.ac.in/contact-us; MX OK
,CSJM University Kanpur,info@csjmu.ac.in,General Desk,General,Other,Kanpur state university; VERIFIED printed on csjmu.ac.in/contact-us; MX OK
,SHUATS Prayagraj,fdean_engg@shuats.edu.in,Engineering Faculty Dean,Dean,Other,Prayagraj university engineering faculty; VERIFIED printed on shuats.edu.in; MX OK
,SHUATS Prayagraj,registrar@shuats.edu.in,Registrar,Registrar,Other,Prayagraj university; VERIFIED printed on shuats.edu.in; MX OK
,BBD University Lucknow,info@bbdu.ac.in,General Desk,General,Other,Lucknow private university; VERIFIED printed on bbdu.ac.in; MX OK
,Jagran New Media,editor@jagrannewmedia.com,Editorial Desk,Editorial,Other,Digital arm of Jagran Prakashan (Kanpur-HQ media group); VERIFIED printed on jagran.com/contact-us; MX OK
,Jagran New Media,compliant_gro@jagrannewmedia.com,Grievance Officer,Compliance,Other,Digital arm of Jagran Prakashan (Kanpur-HQ media group); VERIFIED printed on jagran.com/contact-us; MX OK
